16,bool,11,10,1,true,b,B,true,true,",",0,0,1000,boolin,boolout,boolrecv,boolsend,-,-,-,c,p,false,0,-1,0,0,,,
17,bytea,11,10,-1,false,b,U,false,true,",",0,0,1001,byteain,byteaout,bytearecv,byteasend,-,-,-,i,x,false,0,-1,0,0,,,
18,char,11,10,1,true,b,S,false,true,",",0,0,1002,charin,charout,charrecv,charsend,-,-,-,c,p,false,0,-1,0,0,,,
19,name,11,10,64,false,b,S,false,true,",",0,18,1003,namein,nameout,namerecv,namesend,-,-,-,c,p,false,0,-1,0,950,,,
20,int8,11,10,8,true,b,N,false,true,",",0,0,1016,int8in,int8out,int8recv,int8send,-,-,-,d,p,false,0,-1,0,0,,,
21,int2,11,10,2,true,b,N,false,true,",",0,0,1005,int2in,int2out,int2recv,int2send,-,-,-,s,p,false,0,-1,0,0,,,
22,int2vector,11,10,-1,false,b,A,false,true,",",0,21,1006,int2vectorin,int2vectorout,int2vectorrecv,int2vectorsend,-,-,-,i,p,false,0,-1,0,0,,,
23,int4,11,10,4,true,b,N,false,true,",",0,0,1007,int4in,int4out,int4recv,int4send,-,-,-,i,p,false,0,-1,0,0,,,
24,regproc,11,10,4,true,b,N,false,true,",",0,0,1008,regprocin,regprocout,regprocrecv,regprocsend,-,-,-,i,p,false,0,-1,0,0,,,
25,text,11,10,-1,false,b,S,true,true,",",0,0,1009,textin,textout,textrecv,textsend,-,-,-,i,x,false,0,-1,0,100,,,
26,oid,11,10,4,true,b,N,true,true,",",0,0,1028,oidin,oidout,oidrecv,oidsend,-,-,-,i,p,false,0,-1,0,0,,,
27,tid,11,10,6,false,b,U,false,true,",",0,0,1010,tidin,tidout,tidrecv,tidsend,-,-,-,s,p,false,0,-1,0,0,,,
28,xid,11,10,4,true,b,U,false,true,",",0,0,1011,xidin,xidout,xidrecv,xidsend,-,-,-,i,p,false,0,-1,0,0,,,
29,cid,11,10,4,true,b,U,false,true,",",0,0,1012,cidin,cidout,cidrecv,cidsend,-,-,-,i,p,false,0,-1,0,0,,,
30,oidvector,11,10,-1,false,b,A,false,true,",",0,26,1013,oidvectorin,oidvectorout,oidvectorrecv,oidvectorsend,-,-,-,i,p,false,0,-1,0,0,,,
71,pg_type,11,10,-1,false,c,C,false,true,",",1247,0,0,record_in,record_out,record_recv,record_send,-,-,-,d,x,false,0,-1,0,0,,,
75,pg_attribute,11,10,-1,false,c,C,false,true,",",1249,0,0,record_in,record_out,record_recv,record_send,-,-,-,d,x,false,0,-1,0,0,,,
81,pg_proc,11,10,-1,false,c,C,false,true,",",1255,0,0,record_in,record_out,record_recv,record_send,-,-,-,d,x,false,0,-1,0,0,,,
83,pg_class,11,10,-1,false,c,C,false,true,",",1259,0,0,record_in,record_out,record_recv,record_send,-,-,-,d,x,false,0,-1,0,0,,,
114,json,11,10,-1,false,b,U,false,true,",",0,0,199,json_in,json_out,json_recv,json_send,-,-,-,i,x,false,0,-1,0,0,,,
142,xml,11,10,-1,false,b,U,false,true,",",0,0,143,xml_in,xml_out,xml_recv,xml_send,-,-,-,i,x,false,0,-1,0,0,,,
194,pg_node_tree,11,10,-1,false,b,S,false,true,",",0,0,0,pg_node_tree_in,pg_node_tree_out,pg_node_tree_recv,pg_node_tree_send,-,-,-,i,x,false,0,-1,0,100,,,
3361,pg_ndistinct,11,10,-1,false,b,S,false,true,",",0,0,0,pg_ndistinct_in,pg_ndistinct_out,pg_ndistinct_recv,pg_ndistinct_send,-,-,-,i,x,false,0,-1,0,100,,,
3402,pg_dependencies,11,10,-1,false,b,S,false,true,",",0,0,0,pg_dependencies_in,pg_dependencies_out,pg_dependencies_recv,pg_dependencies_send,-,-,-,i,x,false,0,-1,0,100,,,
5017,pg_mcv_list,11,10,-1,false,b,S,false,true,",",0,0,0,pg_mcv_list_in,pg_mcv_list_out,pg_mcv_list_recv,pg_mcv_list_send,-,-,-,i,x,false,0,-1,0,100,,,
32,pg_ddl_command,11,10,8,true,p,P,false,true,",",0,0,0,pg_ddl_command_in,pg_ddl_command_out,pg_ddl_command_recv,pg_ddl_command_send,-,-,-,d,p,false,0,-1,0,0,,,
600,point,11,10,16,false,b,G,false,true,",",0,701,1017,point_in,point_out,point_recv,point_send,-,-,-,d,p,false,0,-1,0,0,,,
601,lseg,11,10,32,false,b,G,false,true,",",0,600,1018,lseg_in,lseg_out,lseg_recv,lseg_send,-,-,-,d,p,false,0,-1,0,0,,,
602,path,11,10,-1,false,b,G,false,true,",",0,0,1019,path_in,path_out,path_recv,path_send,-,-,-,d,x,false,0,-1,0,0,,,
603,box,11,10,32,false,b,G,false,true,;,0,600,1020,box_in,box_out,box_recv,box_send,-,-,-,d,p,false,0,-1,0,0,,,
604,polygon,11,10,-1,false,b,G,false,true,",",0,0,1027,poly_in,poly_out,poly_recv,poly_send,-,-,-,d,x,false,0,-1,0,0,,,
628,line,11,10,24,false,b,G,false,true,",",0,701,629,line_in,line_out,line_recv,line_send,-,-,-,d,p,false,0,-1,0,0,,,
