ACDT,0 years 0 mons 0 days 10 hours 30 mins 0.00 secs,true
ACSST,0 years 0 mons 0 days 10 hours 30 mins 0.00 secs,true
ACST,0 years 0 mons 0 days 9 hours 30 mins 0.00 secs,false
ACT,0 years 0 mons 0 days -5 hours 0 mins -0.00 secs,false
ACWST,0 years 0 mons 0 days 8 hours 45 mins 0.00 secs,false
ADT,0 years 0 mons 0 days -3 hours 0 mins -0.00 secs,true
AEDT,0 years 0 mons 0 days 11 hours 0 mins 0.00 secs,true
AESST,0 years 0 mons 0 days 11 hours 0 mins 0.00 secs,true
AEST,0 years 0 mons 0 days 10 hours 0 mins 0.00 secs,false
AFT,0 years 0 mons 0 days 4 hours 30 mins 0.00 secs,false
AKDT,0 years 0 mons 0 days -8 hours 0 mins -0.00 secs,true
AKST,0 years 0 mons 0 days -9 hours 0 mins -0.00 secs,false
ALMST,0 years 0 mons 0 days 7 hours 0 mins 0.00 secs,true
ALMT,0 years 0 mons 0 days 6 hours 0 mins 0.00 secs,false
AMST,0 years 0 mons 0 days 4 hours 0 mins 0.00 secs,false
AMT,0 years 0 mons 0 days -4 hours 0 mins -0.00 secs,false
ANAST,0 years 0 mons 0 days 12 hours 0 mins 0.00 secs,false
ANAT,0 years 0 mons 0 days 12 hours 0 mins 0.00 secs,false
ARST,0 years 0 mons 0 days -3 hours 0 mins -0.00 secs,false
ART,0 years 0 mons 0 days -3 hours 0 mins -0.00 secs,false
AST,0 years 0 mons 0 days -4 hours 0 mins -0.00 secs,false
AWSST,0 years 0 mons 0 days 9 hours 0 mins 0.00 secs,true
AWST,0 years 0 mons 0 days 8 hours 0 mins 0.00 secs,false
AZOST,0 years 0 mons 0 days 0 hours 0 mins 0.00 secs,true
AZOT,0 years 0 mons 0 days -1 hours 0 mins -0.00 secs,false
AZST,0 years 0 mons 0 days 4 hours 0 mins 0.00 secs,false
AZT,0 years 0 mons 0 days 4 hours 0 mins 0.00 secs,false
BDST,0 years 0 mons 0 days 2 hours 0 mins 0.00 secs,true
BDT,0 years 0 mons 0 days 6 hours 0 mins 0.00 secs,false
BNT,0 years 0 mons 0 days 8 hours 0 mins 0.00 secs,false
BORT,0 years 0 mons 0 days 8 hours 0 mins 0.00 secs,false
BOT,0 years 0 mons 0 days -4 hours 0 mins -0.00 secs,false
BRA,0 years 0 mons 0 days -3 hours 0 mins -0.00 secs,false
BRST,0 years 0 mons 0 days -2 hours 0 mins -0.00 secs,true
BRT,0 years 0 mons 0 days -3 hours 0 mins -0.00 secs,false
BST,0 years 0 mons 0 days 1 hours 0 mins 0.00 secs,true
BTT,0 years 0 mons 0 days 6 hours 0 mins 0.00 secs,false
CADT,0 years 0 mons 0 days 10 hours 30 mins 0.00 secs,true
CAST,0 years 0 mons 0 days 9 hours 30 mins 0.00 secs,false
CCT,0 years 0 mons 0 days 8 hours 0 mins 0.00 secs,false
CDT,0 years 0 mons 0 days -5 hours 0 mins -0.00 secs,true
CEST,0 years 0 mons 0 days 2 hours 0 mins 0.00 secs,true
CET,0 years 0 mons 0 days 1 hours 0 mins 0.00 secs,false
CETDST,0 years 0 mons 0 days 2 hours 0 mins 0.00 secs,true
CHADT,0 years 0 mons 0 days 13 hours 45 mins 0.00 secs,true
CHAST,0 years 0 mons 0 days 12 hours 45 mins 0.00 secs,false
CHUT,0 years 0 mons 0 days 10 hours 0 mins 0.00 secs,false
CKT,0 years 0 mons 0 days -10 hours 0 mins -0.00 secs,false
CLST,0 years 0 mons 0 days -3 hours 0 mins -0.00 secs,true
CLT,0 years 0 mons 0 days -4 hours 0 mins -0.00 secs,false
COT,0 years 0 mons 0 days -5 hours 0 mins -0.00 secs,false
CST,0 years 0 mons 0 days -6 hours 0 mins -0.00 secs,false
CXT,0 years 0 mons 0 days 7 hours 0 mins 0.00 secs,false
DAVT,0 years 0 mons 0 days 7 hours 0 mins 0.00 secs,false
DDUT,0 years 0 mons 0 days 10 hours 0 mins 0.00 secs,false
EASST,0 years 0 mons 0 days -6 hours 0 mins -0.00 secs,false
EAST,0 years 0 mons 0 days -6 hours 0 mins -0.00 secs,false
EAT,0 years 0 mons 0 days 3 hours 0 mins 0.00 secs,false
EDT,0 years 0 mons 0 days -4 hours 0 mins -0.00 secs,true
EEST,0 years 0 mons 0 days 3 hours 0 mins 0.00 secs,true
EET,0 years 0 mons 0 days 2 hours 0 mins 0.00 secs,false
