3,1,36.6 № 45,1,true,true,false,false
1,1,36.6,1,false,true,true,false
2,2,Айболит,1,false,true,true,false
4,1,36.6 № 1,1,true,true,false,false
5,1,36.6 № 2,1,true,true,false,false
6,1,36.6 № 3,1,true,true,false,false
7,1,36.6 № 4,1,true,true,false,false
8,1,36.6 № 5,1,true,true,false,false
9,1,36.6 № 6,1,true,true,false,false
10,1,36.6 № 7,1,true,true,false,false
11,1,36.6 № 8,1,true,true,false,false
12,1,36.6 № 9,1,true,true,false,false
13,1,36.6 № 10,1,true,true,false,false
14,2,Айболит № 1,1,true,true,false,false
15,2,Айболит № 2,1,true,true,false,false
16,2,Айболит № 3,1,true,true,false,false
17,2,Айболит № 4,1,true,true,false,false
18,2,Айболит № 5,1,true,true,false,false
19,2,Айболит № 6,1,true,true,false,false
20,2,Айболит № 7,1,true,true,false,false
21,2,Айболит № 8,1,true,true,false,false
22,2,Айболит № 9,1,true,true,false,false
23,2,Айболит № 10,1,true,true,false,false
