97,MAXIMUM COLUMNS IN GROUP BY,0,
99,MAXIMUM COLUMNS IN ORDER BY,0,
100,MAXIMUM COLUMNS IN SELECT,1664,
101,MAXIMUM COLUMNS IN TABLE,1600,
1,MAXIMUM CONCURRENT ACTIVITIES,0,
0,MAXIMUM DRIVER CONNECTIONS,,
20000,MAXIMUM STATEMENT OCTETS,0,
20001,MAXIMUM STATEMENT OCTETS DATA,0,
20002,MAXIMUM STATEMENT OCTETS SCHEMA,0,
106,MAXIMUM TABLES IN SELECT,0,
25000,MAXIMUM CURRENT DEFAULT TRANSFORM GROUP LENGTH,,
25001,MAXIMUM CURRENT TRANSFORM GROUP LENGTH,,
25002,MAXIMUM CURRENT PATH LENGTH,0,
25003,MAXIMUM CURRENT ROLE LENGTH,,
34,MAXIMUM CATALOG NAME LENGTH,63,"Might be less, depending on character set."
30,MAXIMUM COLUMN NAME LENGTH,63,"Might be less, depending on character set."
31,MAXIMUM CURSOR NAME LENGTH,63,"Might be less, depending on character set."
10005,MAXIMUM IDENTIFIER LENGTH,63,"Might be less, depending on character set."
32,MAXIMUM SCHEMA NAME LENGTH,63,"Might be less, depending on character set."
35,MAXIMUM TABLE NAME LENGTH,63,"Might be less, depending on character set."
107,MAXIMUM USER NAME LENGTH,63,"Might be less, depending on character set."
25004,MAXIMUM SESSION USER LENGTH,63,"Might be less, depending on character set."
25005,MAXIMUM SYSTEM USER LENGTH,63,"Might be less, depending on character set."
